epoch,eval/12000.0_normalized_score_std,eval/6000.0_reward_mean,eval/6000.0_reward_std,eval/12000.0_reward_std,eval/12000.0_normalized_score_mean,eval/6000.0_normalized_score_std,eval/6000.0_normalized_score_mean,eval/12000.0_reward_mean,update/loss_reward,update/loss_action,update/gradient_step,update/policy_loss,update/learning_rate,epoch_time
0,0.07591085041537911,1.4705546008429167,0.07716464328500809,0.07591085041537911,1.5218739558690872,0.07716464328500809,1.4705546008429167,1.5218739558690872,,,,,,
1,3.1832587177110216,-18.237792859735556,3.1758765594251064,3.1832587177110216,-18.193366253408676,3.1758765594251064,-18.237792859735556,-18.193366253408676,2.9207607519838188e-05,0.1796834716336485,1000,0.17971267924116835,1.001e-05,36.42111682891846
2,0.1256250013694233,-1.1326154444085859,0.25820373503903277,0.1256250013694233,-0.9935390365331391,0.25820373503903277,-1.1326154444085859,-0.9935390365331391,5.892273878462715e-06,0.021251957506447823,2000,0.021257849780326285,2.001e-05,36.49358582496643
3,0.3631077710520457,-7.288561225926202,0.1824711437937873,0.3631077710520457,-7.441015741368472,0.1824711437937873,-7.288561225926202,-7.441015741368472,5.213552381462913e-06,0.011133238003361464,3000,0.011138451555742926,3.001e-05,35.36865043640137
4,0.0933036450077485,-8.09096315361494,0.1112208787933035,0.0933036450077485,-8.073945604296348,0.1112208787933035,-8.09096315361494,-8.073945604296348,2.553965839734761e-06,0.007974746803261535,4000,0.00797730076910127,4.0010000000000005e-05,34.42628574371338
5,0.04695642299790726,-2.124706492265128,0.06487372811641588,0.04695642299790726,-2.08489091467552,0.06487372811641588,-2.124706492265128,-2.08489091467552,1.7852351098800883e-06,0.004902334335865033,5000,0.004904119570974913,5.0010000000000004e-05,35.23672819137573
6,0.05704261837995654,2.4486718397090397,0.07892370816664605,0.05704261837995654,2.467928746399404,0.07892370816664605,2.4486718397090397,2.467928746399404,1.6110279390364035e-06,0.0034617488393025512,6000,0.0034633598672415876,6.0009999999999996e-05,35.01236367225647
7,0.06610091927811677,4.2463313663678806,0.060497106615438986,0.06610091927811677,4.290319657339878,0.060497106615438986,4.2463313663678806,4.290319657339878,1.2998485141734296e-06,0.0025218809815359846,7000,0.0025231808300501582,7.001e-05,34.797847032547
8,0.29698523164926977,12.508619059240075,0.20034886601242444,0.29698523164926977,12.335163060344918,0.20034886601242444,12.508619059240075,12.335163060344918,1.2614494339394804e-06,0.001881945937872918,8000,0.0018832073873068576,8.001e-05,34.61793494224548
9,2.043981884166967,32.208842813071286,0.9637502803322048,2.043981884166967,31.137660717702982,0.9637502803322048,32.208842813071286,31.137660717702982,8.500523680506056e-07,0.0014622393206615777,9000,0.0014630893730296283,9.001e-05,34.449671030044556
10,1.3554585717864585,32.224950641166814,1.4880504493795712,1.3554585717864585,31.737590867544792,1.4880504493795712,32.224950641166814,31.737590867544792,1.0000098436164759e-06,0.0011181236760054738,10000,0.0011191236858490903,0.0001,34.00034236907959
11,0.9330824109703642,32.20833307662612,1.5691864145129881,0.9330824109703642,30.09121517784693,1.5691864145129881,32.20833307662612,30.09121517784693,8.939263875051981e-07,0.0010000979530398362,11000,0.0010009918794273414,0.0001,35.046725273132324
12,0.8856202521992085,31.42191778755291,1.0157226353852271,0.8856202521992085,30.184266481940437,1.0157226353852271,31.42191778755291,30.184266481940437,5.051353954803415e-07,0.0009012334460390838,12000,0.0009017385814345641,0.0001,34.62892723083496
13,0.5037055444334427,29.953149955733153,0.8820921496759827,0.5037055444334427,29.07758612144797,0.8820921496759827,29.953149955733153,29.07758612144797,9.943919915425145e-07,0.0008336681391860723,13000,0.0008346625311776148,0.0001,33.61914873123169
14,0.7376083374676726,30.33684297935317,0.5725779185100139,0.7376083374676726,29.22533020833965,0.5725779185100139,30.33684297935317,29.22533020833965,9.229559818166087e-07,0.0007618838717278869,14000,0.0007628068277097035,0.0001,33.99327087402344
15,0.6474485012800705,29.564758755236863,0.5532709415465412,0.6474485012800705,28.44038180547856,0.5532709415465412,29.564758755236863,28.44038180547856,1.3817957486435656e-06,0.000737918006091128,15000,0.0007392998018397716,0.0001,34.289464235305786
16,0.23553894320527669,26.27683575408048,0.4703366343326509,0.23553894320527669,25.47042922664237,0.4703366343326509,26.27683575408048,25.47042922664237,5.090721115572667e-07,0.0006493636120442644,16000,0.0006498726841558216,0.0001,34.18001914024353
17,0.4262781068741725,31.962661132467513,0.483377103266879,0.4262781068741725,30.903317329152266,0.483377103266879,31.962661132467513,30.903317329152266,6.974765354954231e-07,0.0006356315903118822,17000,0.0006363290668473776,0.0001,34.00196933746338
18,0.4135076323982767,31.134421077056963,0.394017338018011,0.4135076323982767,30.130700094857737,0.394017338018011,31.134421077056963,30.130700094857737,6.606929199837672e-07,0.0006226491704566991,18000,0.0006233098633766828,0.0001,34.90508961677551
19,0.3758154478585052,41.05562734837552,0.6296044062607605,0.3758154478585052,39.47541612319437,0.6296044062607605,41.05562734837552,39.47541612319437,8.969353647936693e-07,0.0005961980173440431,19000,0.0005970949527088368,0.0001,34.771565437316895
20,0.810197287262217,38.049587578021544,0.24163787560013253,0.810197287262217,36.01233035860875,0.24163787560013253,38.049587578021544,36.01233035860875,6.802777786394008e-07,0.0006081265527856266,20000,0.000608806830564266,0.0001,33.88715839385986
21,0.5718101556890333,39.09278289126949,0.2581389826055468,0.5718101556890333,37.51836004088002,0.2581389826055468,39.09278289126949,37.51836004088002,4.349478970904094e-07,0.0005518191137421846,21000,0.0005522540616392749,0.0001,33.979647636413574
22,0.3179398168580601,36.871013350677224,0.5145546678173367,0.3179398168580601,35.945701086074926,0.5145546678173367,36.871013350677224,35.945701086074926,5.437967617491053e-07,0.0005404253369520199,22000,0.000540969133713769,0.0001,33.53551506996155
