eval/12000.0_reward_mean,eval/6000.0_reward_std,eval/6000.0_normalized_score_std,eval/6000.0_reward_mean,eval/12000.0_reward_std,eval/6000.0_normalized_score_mean,epoch,eval/12000.0_normalized_score_std,eval/12000.0_normalized_score_mean,epoch_time,update/policy_loss,update/learning_rate,update/loss_reward,update/gradient_step,update/loss_action
-1.382077141838744,0.2739463188876591,0.2739463188876591,-1.388147953144567,0.28904037065062815,-1.388147953144567,0,0.28904037065062815,-1.382077141838744,,,,,,
384.91320662066244,35.924284706544995,35.924284706544995,377.59027575794715,44.328245213797246,377.59027575794715,1,44.328245213797246,384.91320662066244,28.478180170059204,0.22864268570969157,1.001e-05,4.190301230002922e-05,1000,0.22860078269739154
-14.139201137331886,1.5472585727058568,1.5472585727058568,-16.508646477902985,1.415049533124918,-16.508646477902985,2,1.415049533124918,-14.139201137331886,28.586894273757935,0.14106933719984757,2.001e-05,7.934867361772026e-06,2000,0.1410614023324858
114.74217655067267,4.833619265934004,4.833619265934004,109.11961144138789,11.105615040024867,109.11961144138789,3,11.105615040024867,114.74217655067267,28.443684101104736,0.12687583657419407,3.001e-05,3.4916306027919623e-06,3000,0.1268723449435913
76.35371366463954,3.635630387942794,3.635630387942794,75.56281752097075,4.301284012992018,75.56281752097075,4,4.301284012992018,76.35371366463954,29.481698274612427,0.10884045055256009,4.0010000000000005e-05,1.9936688662619458e-06,4000,0.10883845688369383
59.8490310324288,2.640943820953746,2.640943820953746,63.23613815621292,2.6122293539171326,63.23613815621292,5,2.6122293539171326,59.8490310324288,29.55488133430481,0.08971849111805728,5.0010000000000004e-05,1.2149990500341458e-06,5000,0.08971727611900725
58.846192641339165,3.8141018151523376,3.8141018151523376,58.1818843450032,3.1161278303622013,58.1818843450032,6,3.1161278303622013,58.846192641339165,28.54486870765686,0.09304241600974456,6.0009999999999996e-05,8.346741352058232e-07,6000,0.09304158133560934
66.19755302374469,5.218202733996723,5.218202733996723,64.79999714794783,3.4855903445281413,64.79999714794783,7,3.4855903445281413,66.19755302374469,28.41607904434204,0.09004669708444221,7.001e-05,7.494771315991813e-07,7000,0.09004594760731062
69.27501767553686,4.784751301586705,4.784751301586705,66.98407456630477,3.6526826449629946,66.98407456630477,8,3.6526826449629946,69.27501767553686,29.366978406906128,0.08380983058850788,8.001e-05,4.990310342205867e-07,8000,0.08380933155747367
54.02820964722292,3.71774514398314,3.71774514398314,65.25742874237396,17.138078665724862,65.25742874237396,9,17.138078665724862,54.02820964722292,28.669912815093994,0.08102361022416826,9.001e-05,3.362039377458818e-07,9000,0.08102327402023052
