epoch,eval/12000.0_reward_mean,eval/12000.0_reward_std,eval/6000.0_reward_mean,eval/6000.0_normalized_score_mean,eval/6000.0_reward_std,eval/12000.0_normalized_score_std,eval/6000.0_normalized_score_std,eval/12000.0_normalized_score_mean,update/loss_reward,update/gradient_step,update/loss_action,update/learning_rate,update/policy_loss,epoch_time
0,-1.4531741241728668,0.2642617412977522,-1.4699642330971656,-1.4699642330971656,0.22609289185594098,0.2642617412977522,0.22609289185594098,-1.4531741241728668,,,,,,
1,47.21309142056319,0.9061712636837206,47.6720160394505,47.6720160394505,0.8831981081067841,0.9061712636837206,0.8831981081067841,47.21309142056319,3.703989578959068e-05,1000,0.21091763626715268,1.001e-05,0.21095467616294228,29.67153549194336
2,103.40570907398981,24.84976697170533,90.52286189225877,90.52286189225877,10.381707373573619,24.84976697170533,10.381707373573619,103.40570907398981,7.60140081355179e-06,2000,0.1372009574739814,2.001e-05,0.13720855887479494,27.62676763534546
3,84.0108802626003,2.380661769324914,82.12797701628546,82.12797701628546,2.3243915808424753,2.380661769324914,2.3243915808424753,84.0108802626003,3.3660643450566534e-06,3000,0.12599258483901082,3.001e-05,0.12599595090335589,27.112775087356567
4,316.9426174566821,27.325855188099343,332.6349187515651,332.6349187515651,29.462349885921906,27.325855188099343,29.462349885921906,316.9426174566821,2.0663099605275784e-06,4000,0.11324082562246084,4.0010000000000005e-05,0.11324289193242136,26.390252828598022
5,90.2424064711201,17.53316728224348,73.41142330257101,73.41142330257101,11.096836947757856,17.53316728224348,11.096836947757856,90.2424064711201,1.2255178666178307e-06,5000,0.09181576077848909,5.0010000000000004e-05,0.09181698629635571,26.574780464172363
6,59.87689921578625,2.1442719093743055,56.80022296460421,56.80022296460421,1.2429962778638317,2.1442719093743055,1.2429962778638317,59.87689921578625,8.121845985209903e-07,6000,0.09351374124817718,6.0009999999999996e-05,0.0935145534327757,28.07860231399536
7,53.07068706306696,1.3578751647553395,51.022500936307836,51.022500936307836,1.5259047694777108,1.3578751647553395,1.5259047694777108,53.07068706306696,7.229682400125442e-07,7000,0.09455349748904925,7.001e-05,0.09455422045728926,27.396457195281982
8,67.4641831419362,18.277674739883086,60.079780773635115,60.079780773635115,0.9306283179034078,18.277674739883086,0.9306283179034078,67.4641831419362,4.6620881454763346e-07,8000,0.08651730980273573,8.001e-05,0.08651777601155028,27.333460569381714
9,63.996205750751834,2.114481352170357,62.54341883821742,62.54341883821742,1.9779702571749571,2.114481352170357,1.9779702571749571,63.996205750751834,3.11555598130152e-07,9000,0.08259650000455317,9.001e-05,0.08259681156015129,27.1481831073761
