eval/6000.0_normalized_score_std,eval/6000.0_normalized_score_mean,epoch,eval/6000.0_reward_mean,eval/6000.0_reward_std,eval/12000.0_reward_mean,eval/12000.0_reward_std,eval/12000.0_normalized_score_std,eval/12000.0_normalized_score_mean,update/learning_rate,update/loss_reward,update/loss_action,update/policy_loss,update/gradient_step,epoch_time
0.07716464328500809,1.4705546008429167,0,1.4705546008429167,0.07716464328500809,1.5218739558690872,0.07591085041537911,0.07591085041537911,1.5218739558690872,,,,,,
3.1758765594251064,-18.237792859735556,1,-18.237792859735556,3.1758765594251064,-18.193366253408676,3.1832587177110216,3.1832587177110216,-18.193366253408676,1.001e-05,2.9207607519838188e-05,0.1796834716336485,0.17971267924116835,1000,36.48841834068298
0.25820373503903277,-1.1326154444085859,2,-1.1326154444085859,0.25820373503903277,-0.9935390365331391,0.1256250013694233,0.1256250013694233,-0.9935390365331391,2.001e-05,5.892273878462715e-06,0.021251957506447823,0.021257849780326285,2000,35.46198296546936
0.1824711437937873,-7.288561225926202,3,-7.288561225926202,0.1824711437937873,-7.441015741368472,0.3631077710520457,0.3631077710520457,-7.441015741368472,3.001e-05,5.213552381462913e-06,0.011133238003361464,0.011138451555742926,3000,36.2204647064209
0.1112208787933035,-8.09096315361494,4,-8.09096315361494,0.1112208787933035,-8.073945604296348,0.0933036450077485,0.0933036450077485,-8.073945604296348,4.0010000000000005e-05,2.553965839734761e-06,0.007974746803261535,0.00797730076910127,4000,35.813621282577515
0.06487372811641588,-2.124706492265128,5,-2.124706492265128,0.06487372811641588,-2.08489091467552,0.04695642299790726,0.04695642299790726,-2.08489091467552,5.0010000000000004e-05,1.7852351098800883e-06,0.004902334335865033,0.004904119570974913,5000,36.470516204833984
0.07892370816664605,2.4486718397090397,6,2.4486718397090397,0.07892370816664605,2.467928746399404,0.05704261837995654,0.05704261837995654,2.467928746399404,6.0009999999999996e-05,1.6110279390364035e-06,0.0034617488393025512,0.0034633598672415876,6000,36.08821678161621
0.060497106615438986,4.2463313663678806,7,4.2463313663678806,0.060497106615438986,4.290319657339878,0.06610091927811677,0.06610091927811677,4.290319657339878,7.001e-05,1.2998485141734296e-06,0.0025218809815359846,0.0025231808300501582,7000,36.22740912437439
0.20034886601242444,12.508619059240075,8,12.508619059240075,0.20034886601242444,12.335163060344918,0.29698523164926977,0.29698523164926977,12.335163060344918,8.001e-05,1.2614494339394804e-06,0.001881945937872918,0.0018832073873068576,8000,36.060638189315796
0.9637502803322048,32.208842813071286,9,32.208842813071286,0.9637502803322048,31.137660717702982,2.043981884166967,2.043981884166967,31.137660717702982,9.001e-05,8.500523680506056e-07,0.0014622393206615777,0.0014630893730296283,9000,35.83885407447815
